Richard Rogers,Richard Rodgers
Richard Juler,Richard Jeweler 
Richard Juler,Richard Jeweler 
David Keller Brubeck,Dave Brubeck
David Keller,Dave Brubeck
Leroy Pearlman,Ray Wax
Leyland Hayward,Leland Hayward
Philly Jo Jones,Philly Joe Jones
Mike Green,Michael Greene
Loren Beimert,Loren C. Bamert
Kyle Trio,Billy Kyle
Jonathan Richard Flowers,Jonathan Richard Flowers
Jonathan Richard,Jonathan Richard Flowers
Billy Kyle Trio,Billy Kyle
Dick Nixon,Richard Nixon
Dame Meyerhess,Myra Hess
Austin Otis,Austin Otis Sexton Grammar School
Jimmy DeForrest,Jimmy Forrest
John Hendricks,Jon Hendricks
Otis Sexton,Austin Otis Sexton Grammar School
Paul Gonzalves,Paul Gonsalves
Terrance Blanchard,Terence Blanchard
Terry Clark,Clark Terry
Yeah Victor Sproles,Victor Sproles
Dave Van Kreidt,David van Kriedt
Dean Carl,Dean Carl Nosse
Johnny Osterbar,John Osterbar
Johanna Ivy,Elizabeth Ivy Brubeck
Jimmy Branford,Jimmy Blanton
Jeff Levinson,Jeff Levenson
Herman Saunders,Herman Shapiro
Howard Peter,Howard Brubeck
Henry Ivy,Henry Ivey
David Warren,Dave Brubeck
Lurlene Hutter,Lurlean Hunter
Van Kreidt,David van Kriedt
Peg Leg Bass,Peg Leg Bates
Erik Kongshaug,Jan Erik Kongshaug
Ali Raka,Alla Rakha
Dave Garibaldi,David Garibaldi
David Weckl,Dave Weckl
Gil Birnes,Gil Brines
Louis Conte,Luis Conte
Papa Jo Jones,Jo Jones
Zakir Hussein,Zakir Hussain
Doc Severinson,Doc Severinsen
Eddie Shaughnessy,Ed Shaughnessy
El Negro,Horacio "El Negro" Hernandez
George Lawrence,George Lawrence Stone
Jack Costanza,Jack Costanzo
Jimmy Chapin,Jim Chapin
Luigi Paulino Alfredo Francesco Antonio Balassoni,Louie Bellson
Otto Hartwick,Otto Hartwick
Otto Hartwick,Otto Hardwick
Leonard Berstein,Berstein
Alfonso Trent,Alphonse Trent
Clyde McFatter,Clyde McPhatter
Don Alberts,Don Albert
Earl Waren,Earle Warren
Fay Terrel,Pha Terrell
George Holmes,Buddy Tate
George Holmes Tate,Buddy Tate
Otto King,King Oliver
Kirk Twelve,Andy Kirk
Mammie Smith,Mamie Smith
Victor Spivey,Victoria Spivey
Murray Spivak,Murray Spivack
June Stovenour,June Haver
Charlie Wilcoxson,Charley Wilcoxon
Timmie Rodgers,Timmie Rogers
Teddy Reed,Ted Reed
True Berry,Chu Berry
Hal Overton,Hall Overton
Barney Joseph,Barney Josephson
Davy Tough,Dave Tough
Ben Pollock,Ben Pollack
Al Bryant,Elbridge Bryant
Austin High,Austin High Gang
Bebop Bud Powell,Bud Powell
Bill Goodman,Bill Goodwin
Chuck Andrews,Chuck Andrus
Vince Herring,Vincent Herring
Teddy Koteck,Teddy Kotick
John Early,John Earle
Joe Rocisano,Joe Roccisano
Joe Allred,Joseph Allard
Al Crook,Hal Crook
John Gordon,jon gordon
Katherine Basie,Catherine Basie
Kay Johnson,Keg Johnson
Porter Kilburn,Porter Kilbert
Milton Hinton,Milt Hinton
Ben Birney,Ben Bernie
Jimmy Britton,Jimmy Bertrand
Alan Tinney,Al Tinney
Steppin Fetchet,Stepin Fetchit
Tooty Boyd,Tony Boyd
Joe Treadwell,George Treadwell
George Rocco,George Rock
Gayle Burnell,Gil Bernal
Sonny Stiff,Sonny Stitt
Sunny Land,Sunnyland Slim
Peg Leg,Peg Leg Bates
Butter Beans,Butter Beans and Suzie
Gloria Lynn,Gloria Lynne
Kid Gavaland,Kid Gavilan
John Lee,John Lee Hooker
Joe Lewis,Joe Louis
Kid Gavaland,Kid Gavilan
Eddie Strait,Ed Straight
Ed Strait,Ed Straight
Jimmie Cheatham,Jimmy Cheatham
Butter Beans and Suzie,Butterbeans and Susie 
Butter Beans and Suzie,Butterbeans and Susie 
Bob Caster,Bob Koester
Kip Thomas Dixieland Band,Kip Thomas
David Rafkin,David Reffkin
Johnson Leslie,Leslie Johnson
Reggie Buckner,Reginald Buckner
Dave Oscault,David Ostwald
Washington,Dinah Washington
Bill Davidson,Bill Davison
Billy Mayall,Billy Mayerl
Bucky Pizarelli,Bucky Pizzarelli
Frank Kimbro,Frank Kimbrough
Colleen Ray,Colleen Raye
Jane Ira,Jane Ira Bloom
Sal Salvadore,Sal Salvador
Dinah. Washington,Dinah Washington
Williams Joe,Joe Williams
Rosa Ponsel,Rosa Ponselle
Milton J,Milton J. Cross
Lawrence Tibbitt,Lawrence Tibbett
Kevin Mahagony,Kevin Mahogany
Big Sid,Sid Catlett
Julian "Cannonball" Adderley,Cannonball Adderley
Paul Broadnecks,Paul Broadnax
Milton J. Cross,Milton Cross
John Charles,Charles Thomas
Harry "Sweets" Edison,Harry Edison
Harold Lookofsky,Harry Lookofsky
Diane Reeves,Dianne Reeves
Clifford Wilson,Rosemary Clifford Wilson
Rosemary Clifford,Rosemary Clifford Wilson
Don Tretter,Donn Trenner
Yeah Gershwin,Ira Gershwin
Don O'Connor,Donald O'Connor
Clifford Browns,Clifford Brown
Henry Brandt,Henry Brant
Paul Hindumith,Paul Hindemith
Eddie Pearson,Eddie Pierson
Bassist Buster Williams,Buster Williams
Williams Bassist,Buster Williams
Sam Wied,Sam Reed
Anna Jane,Anna Jane Rouser
Baby Lee Laurence,Baby Laurence
Baron Timme Rosencranz,Timme Rosenkrantz
Bill Bojangles,Bill Robinson
Pearl Blanche Calloway,Blanche Calloway
Pearl Blanche,Blanche Calloway
Father Woods,Father Anthony Woods
Carl Glassman,Karl Glassman
Gil Brines,Gil Breines
Joya Sherill,Joya Sherrill
Phil Wood,Phil Woods
Pat Willard,Patricia Willard
Sol Goodman,Saul Goodman
Sol Goodwin,Saul Goodman
Cachao,Cachao Lopez
Davey Tough,Dave Tough
Like Giovanni Hidalgo,Giovanni Hidalgo
Percy Walker,Argo Percy Walker
Randy Sankey,Randy Sandke
Louie Russell,Luis Russell
Specks Red,Speckled Red
Peter Stookey,Paul Stookey
Jusef Lateef,Yusef Lateef
Cannonball,Cannonball Adderley
Terrell Statford,Terell Stafford
Barry Gordy,Berry Gordy
Ornette,Ornette Coleman
Coltrane,John Coltrane
LeRoy Scrubbs,Levi Stubbs
BennyGoodman,Benny Goodman
Captain Dyat,Walter Dyett
Jerry Lee,Jerry Lee Louis
Jerry Lee Louis,Jerry Lee Lewis
Lou Futterman,Lew Futterman
Ray Scott,Raymond Scott
Walter Dyat,Walter Dyett
Bill Reddy,Bill Reddie
Bobby Columby,Bobby Colomby
Cliff Lehman,Cliff Leeman
Dee Dee,Dee Dee Bridgewater
Joe Marsale,Joe Marsala
John LaBarbara,John LaBarbera
Marty Marsale,Marty Marsala
Phil Spitale,Phil Spitalny
Mary Louise Winn Burley,Mary Lou Williams
Mary Lou Winn,Mary Lou Williams
Mary Lou Winn Burley,Mary Lou Williams
Mary Louise Scruggs,Mary Lou Williams
Mary Louise Winn,Mary Lou Williams
Miss Williams,Mary Lou Williams
Louise Scruggs,Mary Lou Williams
Louise Winn,Mary Lou Williams
Lou Winn,Mary Lou Williams
Reverend Williams,Mary Lou Williams
Popsie Whitaker,Popsie Whittaker
Peggy Hitchcock,Peggy Mellon Hitchcock
Moms Mabley,Jackie "Moms" Mabley
Jackie Mabley,Jackie "Moms" Mabley
Popsie Whittaker,Rogers E. M. Whitaker
Mary Lou Burley,Mary Lou Williams
John S,John Sellers
John Sellers,Brother John Sellers
Hugh Panaissie,Hugues Panassie
James Reese,James Reese Europe
Lionel Hamptons,Lionel Hampton
Lady Day,Billie Holiday
Patti Labelle,Patti LaBelle
Mary Reese,Mary Reese Europe
Daphne Onstein,Daphne Arnstein
Eddie Brook,Edward Brooke
Cuban Bennett,Theodore Bennett
David Stone,David Stone Martin
Eddie Hayward,Eddie Heywood
Gerard Pochonet,Gerard Pochonet
Gerard Pochonetto,Gerard Pochonet
Hal Baker,Harold Baker
Buzzin Harris,Buzzin' Harris
Dave Baker,David Baker
Diana Kral,Diana Krall
Diana Reeves,Dianne Reeves
George Devivier,George Duvivier
Stan Levy,Stan Levey
Marva Josie,Marva Josie
Lorezza Alexandria,Lorez Alexandria
Houston,Houston Person
Mort Feeger,Mort Fega
Pigmeat Markum,Dewey "Pigmeat" Markham
Teri Lyne,Teri Lyne Carrington
Bert Porter,Burt Porter
Jeremy Feldman,Trevor Feldman
Jose Bettincourt,Jose Bettancourt
Meade "Lux" Lewis,Meade Lux Lewis
Ippolito,Frank Ippolito
McLaughlin,John McLaughlin
Tommy Bedford,Tommy Benford
See Jelly Roll,Jelly Roll Morton
See King,King Oliver
Roll Morton,Jelly Roll Morton
Robert E,Robert E. Lee
Manny Perez,Manuel Perez
Alphonso Steele,Alphonse Steele
Big Eye Louis,Louis Nelson Delisle
Wooden Joe,Wooden Joe Nicholas 
Wilbur De,Wilbur De Paris
Will Marion,Will Marion Cook
Sidney Desvignes,Sidney Desvigne
Cozy Coles,Cozy Cole
Billy Joe,Philly Joe Jones
Blinkie Allen,Blinky Allen
Burt Williams,Bert Williams
Cedar Walters,Cedar Walton
Buddy Petit,Buddie Petit
Collins Astoria Stompers,Jones & Collins Astoria Hot Eight
Daniel Barker,Danny Barker
Daniel Moses,Danny Barker
Dannie Barker,Danny Barker
Frank Tashlyn,Frank Tashlin
Gene Amans,Gene Ammons
George Wing,George Wein
Hugh Macekala,Hugh Masekela
Ira Hitler,Ira Gitler
Jack Dijenette,Jack DeJohnette
John Coletrain,John Coltrane
John Killens,John Oliver Killens
Johnnie Griffin,Johnny Griffin
Johnny Ray,Johnnie Ray
Michael Romer,Michael Roemer
Miriam Mkebe,Miriam Makeba
Nellie Letcher,Nellie Lutcher
Robert Ruland,Robert Ruland Wooldridge
Ronnie Mattews,Ronnie Mathews
Shirley Horne,Shirley Horn
Tom Fielings,Tom Feelings
Royal Hargrove,Roy Hargrove
Big Nicholas,Nick Nicholas
Danny Mann,Daniel Mann
Denita Joe,Damita Jo DeBlanc
Donald Vogel,Donald Bogle
Charlie Haynes,Charlie Haden
Poppa Joe,Jo Jones
Nat Hinthoff,Nat Hentoff
James Wyman,James Weidman
Junior Manson,Junior Mance
Matt Hantal,Nat Hentoff
Marty Page,Marty Paich
Sally Blair,Sallie Blair
Tudy Camaradi,Tutti Camarata
Moses Barker,Danny Barker
William Wrigleys,William Wrigley Jr.
Richard MacLean,Richard Mclean
Dr. King,Martin Luther King, Jr.
Dr. King,Martin Luther King, Jr.
Carmen,Carmen McRae
Dr. King,Martin Luther King, Jr.
Dr. King,Martin Luther King, Jr.
Dr. King,Martin Luther King, Jr.
Charles E,Charles E. Gerber
Delfeayo Ferdinand Marsalis,Delfeayo Marsalis
Ferdinand Delfeayo Marsalis,Delfeayo Marsalis
Geffon Records,Geffen Records
Im Duke,Duke Ellington
Marcus Robertss,Marcus Roberts
Max Roachs,Max Roach
Max Roachs So,Max Roach
Ornette Colemans,Ornette Coleman
Ray Andersons,Ray Anderson
Ronnie Scotts,Ronnie Scott
William Strayhorn,Billy Strayhorn
Branfords,Branford
Ferdinand Delfeayo,Delfeayo Marsalis
Johnson,J.J. Johnson
Miless,Miles Davis
Terence,Terence Blanchard
Wynton,Wynton Marsalis
Branford,Branford Marsalis
Caffrey Darensbourg,Joe Darensbourg
Elvins,Elvin Jones
Greg Miller,J. Greg Miller
Count Bassie,Count Basie
B B King,B.B. King
Bix Bita Bix,Bix Beiderbecke
Bob Crenshaw,Bob Cranshaw
Raddy Jean Vigne,Ratty Jean Vigne
Dave Williams,David "Happy" Williams
Edmund Fouche,Earl Fouche
Ernest Trepannier,Ernest Trepagnier
Louis Bibbs,Louis Bibbs Lazard
Lawrence Marrerro,Lawrence Marrero
Jean Vigne,Ratty Jean Vigne
Dianna Reeves,Dianne Reeves
Father O'Connor,Father Peter O'Brien
Celine Dions,Celine Dion
Donnie Hathaway,Donny Hathaway
Remo Palmieri,Remo Palmier
Walter Bishop,Walter Bishop, Jr.
Nesuhi,Nesuhi Ertegun
John Oscar Levy,John Levy
Jessie Jackson,Jesse Jackson
Jimmy Ferguson,Baron Lee
Truehart,John Trueheart
Willie Barbarin,Willie Humphrey
Sweets,Harry Edison
Vince Geridoni,Vince Giordano
Bob Zerkie,Bob Zurke
Doris Robins,Doris Robbins
George VanEpps,George Van Eps
Gil Roden,Gil Rodin
John Eric Kelso,Jon-Erik Kellso
John Eric,John Eric Kelso
Amos Foster,Charles Amos Foster
Anna May,Lillie Mae Jones
Beans Bowles,Thomas "Beans" Bowles
Beans Richardson,James "Beans" Richardson
Benjamin Foster,Frank Foster
Betty Bebop,Lillie Mae Jones
Bishop Reverdy,Bishop Reverdy C. Ransom
Charles Amos,Charles Amos Foster
Charles H,Charles H. Wesley
Lillie Mae,Lillie Mae Jones
